04012023	09:37:15	f907daca-ddef-43ce-b163-0dccd6ba25a8	/new-page.html	GET
04012023	09:37:15	f8accea3-59f0-4632-a906-64c817c43eff	/img/blog1.jpg	GET
04012023	09:37:17	973a9c38-5ac0-48d3-b914-777056f8969a	/favicon.ico	GET
04012023	09:39:12	6915687e-fa64-4168-b827-fcf7a16da1d5	/	GET
04012023	09:41:18	84d37deb-8826-4efd-9c9f-dfb11d38c6e5	/	GET
04012023	09:44:56	8022d516-c48c-4b6a-85e3-bf7d4b1b7fc2	/	GET
04012023	09:55:30	bd92f27c-ec23-4712-949a-2a13ab3091e9	/data/data.txt	GET
04012023	15:22:18	4f007bfa-2cf3-4c23-9bee-77395edc0592	GET	undefined	/
04012023	15:22:18	11c7791d-49b4-4f66-83cd-022d7d2e3f4b	GET	undefined	/css/style.css
 04012023	16:32:57	e5e8147f-723b-4d38-bf16-5d0ed87a784b	GET	undefined	/
04012023	16:32:57	46412a93-267a-4beb-8b68-151edff9484e	GET	undefined	/css/style.css
04012023	16:34:20	5df3f3fe-e8c1-4896-81df-4032056fa64e	OPTIONS	undefined	/
04012023	16:34:20	9c45fcad-1ceb-4670-92d6-4867871e8119	GET	undefined	/
04012023	16:35:38	5216f207-c232-49c3-90cc-cbaa45823a6f	OPTIONS	undefined	/
04012023	16:35:38	219093f5-7aa9-4d2a-ad80-e4280369150b	GET	undefined	/
04012023	16:43:02	965f100a-ad81-4273-a0ea-d666d70db11a	OPTIONS	undefined	/
04012023	16:43:02	348a6a3f-d2fc-4cef-942d-860af7db953c	GET	undefined	/
04012023	16:43:42	ecb744b7-e8c2-4173-98b7-1c7128c4a8a1	OPTIONS	undefined	/
04012023	16:43:42	b8004b8a-c592-41d6-b869-171e1955ea19	GET	undefined	/
04012023	16:51:42	a4b39c9b-a96a-4a9a-987f-e5f1a2a20382	OPTIONS	undefined	/
04012023	16:51:42	b963ba52-024a-43bd-b0fb-7b8b22fc6b56	GET	undefined	/
04012023	16:52:08	65f646c8-c28d-4b96-9b89-93d9c70fda16	OPTIONS	undefined	/
04012023	16:52:08	374a1bb9-770d-42fe-bb3f-6a271e4187f5	GET	undefined	/
04012023	16:53:28	48a0ce16-5dfa-4bab-984f-c40bb8aef5cd	OPTIONS	undefined	/
04012023	16:53:28	bbdc67e1-71e9-4114-b277-1001d26fc5d4	GET	undefined	/
04012023	16:54:56	ff33073a-719c-4043-a85c-278e24f3bbff	OPTIONS	undefined	/
04012023	16:54:56	93581630-f267-4cb7-a9cf-a668c13bcdb2	GET	undefined	/
04012023	16:56:10	8da34955-fdef-4b9f-b209-c2453fab7b7a	OPTIONS	undefined	/
04012023	16:56:10	28bb79ff-2e91-4998-b16f-f4b8f926f2fd	GET	undefined	/
04012023	16:57:07	de07834f-eade-4b99-a945-83795f60a22b	OPTIONS	undefined	/
04012023	16:57:07	53724a6a-4d5e-42b3-be49-4153f519837f	GET	undefined	/
04012023	16:57:52	77b6b66f-3b00-4ab4-99f2-c36b163c6422	OPTIONS	undefined	/
04012023	16:57:52	8de73a36-6d86-4b27-abcc-7d17da7d8f8f	GET	undefined	/
04012023	20:02:47	d542ad15-e32a-4deb-af68-744e254f0db6	GET	undefined	/
04012023	20:04:18	0d666c76-9fc4-4ea3-a42b-e27d3cc1a078	GET	undefined	/
04012023	20:04:18	d8e6d5fc-de2f-4462-bc76-ac3a06180dd8	GET	undefined	/css/style.css
04012023	20:09:26	654a05e8-f669-436f-9f78-886a13154d70	GET	undefined	/
04012023	20:09:26	caac906f-7536-44f5-a964-47686174eb7b	GET	undefined	/css/style.css
04012023	20:09:45	df6d5044-3b79-4113-8112-a1652fd4e62a	GET	undefined	/
04012023	20:10:09	5ee09d00-cd36-4336-bb07-6de84c060c17	GET	undefined	/
04012023	20:10:09	f771fb56-7508-4f0a-be56-a21da2be0534	GET	undefined	/css/style.css
04012023	20:18:42	1928ebe7-5197-48b4-a1b1-2da173a0a582	GET	undefined	/
04012023	20:18:42	026739e1-89b2-442f-bea2-1a79c15ca2b7	GET	undefined	/css/style.css
04012023	20:18:57	f6651f9b-7077-47d0-9cc3-e67bd0423b7d	GET	undefined	/
04012023	20:19:20	052ba72d-6bb0-4e15-ac65-7e4129e4cea4	GET	undefined	/
04012023	20:19:21	4184df38-2293-42a9-9115-c8f111c9e7c3	GET	undefined	/css/style.css
04012023	20:19:26	ae565812-f643-4b22-98ea-7d2279ccc35c	GET	undefined	/uugygg
04012023	20:19:26	ccd9d571-fbe1-452d-9c35-c8069cdfd9e5	GET	undefined	/css/style.css
04012023	20:29:04	a999a278-aaca-4d53-bbe8-f1bbbcf16334	GET	undefined	/subdir
04012023	20:29:19	5ebe89bb-1e50-4d58-a59a-d2b3e1827fca	GET	undefined	/subdir/text
04012023	20:29:28	bdd78f01-7ea3-433c-9550-d676dd6b5d70	GET	undefined	/subdir/ttext
04012023	20:29:28	243e7e65-d1db-4f78-89c8-dc304b75d745	GET	undefined	/css/style.css
04012023	20:40:27	8ee75643-6f08-4612-860a-4377bf7efdfb	GET	undefined	/
04012023	20:40:27	c252044c-7099-4ee2-b8b4-eec6423631d4	GET	undefined	/css/style.css
04012023	20:40:42	7f86bb9a-f75f-4821-9062-d4a4b0b3b369	GET	undefined	/new-page.html
04012023	20:40:42	e9e10ba3-10ff-4ddb-b8a1-2c39a7c54aef	GET	undefined	/css/style.css
04012023	20:40:43	27699693-2e31-4ab0-b965-17ddf7e32f5c	GET	undefined	/img/blog1.jpg
04012023	21:13:47	69c82bf7-42c6-4f0b-a4f9-3791e8528769	GET	undefined	/employees
04012023	21:14:09	ad802add-ddff-4382-8b67-f926527eecc6	GET	undefined	/employees/1
04012023	21:14:16	ffcf7b99-1dd4-42d3-b66a-39762d0e041c	GET	undefined	/employees/6
04012023	21:16:03	ff5e9771-8a29-417d-addd-cf7b380ad2fa	POST	undefined	/employees
04012023	21:18:15	af1b7c0a-a272-4c8d-9bdc-12fc207f1dae	POST	undefined	/employees
04012023	21:19:20	90bf7f91-f310-4798-8a4b-33251bda3cba	POST	undefined	/employees
04012023	21:19:25	68cb932e-9791-442d-8454-e24836a3432f	POST	undefined	/employees
04012023	21:19:31	10ba6250-9d02-47cc-86d5-71c86902f53c	POST	undefined	/employees
04012023	21:21:04	5220cfd4-ce07-4963-8ffa-40990ec76992	PUT	undefined	/employees
04012023	21:21:24	48441d19-71af-409e-9794-f1ee63cd753e	DELETE	undefined	/employees
04012023	21:21:30	cd9b1297-53f8-4b78-a907-343ba64d4410	POST	undefined	/employees
04012023	21:21:39	2a1c2ffd-9732-41ff-91e3-8a60d339ecf5	PUT	undefined	/employees
04012023	21:21:49	f2df24f4-5312-4670-9ce1-a3dea6a7909c	DELETE	undefined	/employees
05012023	09:13:43	6ae79424-e647-4d34-8152-e305135a6513	GET	undefined	/employees
